City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
146,Thompson,CA,2020-02-23 09:52:45,55.74,-97.86,12.2,72,90,6.93,overcast clouds,0.88,0.63
147,Tiksi,RU,2020-02-23 09:52:45,71.69,128.87,-10.89,91,100,6.06,overcast clouds,0.88,0.63
148,Rivadavia,AR,2020-02-23 09:52:46,-33.19,-68.46,60.8,72,0,5.01,clear sky,0.88,0.63
149,Cape Town,ZA,2020-02-23 09:48:08,-33.93,18.42,84.0,29,0,11.41,clear sky,0.88,0.63
150,Ponta Do Sol,PT,2020-02-23 09:52:46,32.67,-17.1,64.4,72,40,18.34,scattered clouds,0.88,0.63
151,Barentsburg,PT,2020-02-23 09:52:46,32.67,-17.1,64.4,72,40,18.34,scattered clouds,0.88,0.63
152,Lagos,NG,2020-02-23 09:52:46,6.58,3.75,87.8,79,75,4.41,broken clouds,0.88,0.63
153,Grootfontein,NA,2020-02-23 09:52:47,-19.57,18.12,77.34,60,88,11.48,light rain,1.75,0.63
154,Grand Gaube,MU,2020-02-23 09:52:47,-20.01,57.66,84.2,74,75,6.93,broken clouds,1.75,0.63
155,Palmer,US,2020-02-23 09:52:47,42.16,-72.33,32.0,85,1,3.65,clear sky,1.75,0.63
156,Kodiak,US,2020-02-23 09:52:47,57.79,-152.41,19.4,57,20,25.28,few clouds,1.75,0.63
157,Amderma,US,2020-02-23 09:52:47,57.79,-152.41,19.4,57,20,25.28,few clouds,1.75,0.63
158,Umm Lajj,SA,2020-02-23 09:52:48,25.02,37.27,73.02,20,100,9.37,overcast clouds,1.75,0.63
159,Gizo,SB,2020-02-23 09:52:48,-8.1,156.84,78.3,90,9,6.96,clear sky,1.75,0.63
160,Warqla,SB,2020-02-23 09:52:48,-8.1,156.84,78.3,90,9,6.96,clear sky,1.75,0.63
161,Atar,MR,2020-02-23 09:52:48,20.52,-13.05,87.8,18,100,29.97,overcast clouds,1.75,0.63
162,Bethel,US,2020-02-23 09:52:48,41.37,-73.41,33.01,79,1,4.12,clear sky,1.75,0.63
163,Abu Samrah,SY,2020-02-23 09:52:49,35.3,37.18,58.24,57,9,10.83,light rain,0.31,0.63
164,Fortuna,US,2020-02-23 09:52:49,40.6,-124.16,48.99,87,90,1.12,overcast clouds,0.31,0.63
165,Maghama,US,2020-02-23 09:52:49,40.6,-124.16,48.99,87,90,1.12,overcast clouds,0.31,0.63
166,Ixtapa,MX,2020-02-23 09:52:49,20.7,-105.2,73.0,100,75,4.7,broken clouds,0.31,0.63
167,Okhotsk,RU,2020-02-23 09:52:49,59.38,143.3,-10.75,97,0,2.3,clear sky,0.31,0.63
168,Camacha,PT,2020-02-23 09:52:49,33.08,-16.33,64.4,82,40,16.11,scattered clouds,0.31,0.63
169,Etropole,BG,2020-02-23 09:52:50,42.83,24.0,53.01,60,55,3.36,broken clouds,0.31,0.63
170,Tsihombe,BG,2020-02-23 09:52:50,42.83,24.0,53.01,60,55,3.36,broken clouds,0.31,0.63
171,Faanui,PF,2020-02-23 09:52:50,-16.48,-151.75,82.9,72,1,8.57,light rain,0.38,0.63
172,Palabuhanratu,PF,2020-02-23 09:52:50,-16.48,-151.75,82.9,72,1,8.57,light rain,0.38,0.63
173,Osoyoos,CA,2020-02-23 09:52:51,49.03,-119.45,35.6,74,90,2.24,overcast clouds,0.38,0.63
174,Nantucket,US,2020-02-23 09:52:51,41.28,-70.1,33.01,70,1,8.05,clear sky,0.38,0.63
175,Diffa,NE,2020-02-23 09:52:51,13.32,12.61,82.6,16,0,20.09,clear sky,0.38,0.63
