City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Upata,VE,2020-02-21 05:39:42,8.01,-62.4,67.6,85,99,3.27
203,Port Alfred,ZA,2020-02-21 05:39:42,-33.59,26.89,72.0,86,81,1.01
204,Amahai,ID,2020-02-21 05:39:42,-3.33,128.92,83.95,69,65,7.16
205,Kulhudhuffushi,MV,2020-02-21 05:39:42,6.62,73.07,82.92,71,32,11.81
206,Puerto Escondido,MX,2020-02-21 05:39:43,15.85,-97.07,78.8,94,5,4.7
207,Victoria,HK,2020-02-21 05:38:55,22.29,114.16,81.0,41,0,17.22
208,Victoria Point,AU,2020-02-21 05:39:43,-27.58,153.3,87.01,58,20,13.87
209,Turbat,PK,2020-02-21 05:39:44,26.0,63.04,78.78,14,100,14.56
210,Lakatoro,VU,2020-02-21 05:39:44,-16.1,167.42,86.0,100,8,10.29
211,Kandrian,PG,2020-02-21 05:39:44,-6.22,149.55,81.73,76,80,10.69
212,Bredy,RU,2020-02-21 05:39:44,52.42,60.34,22.3,92,89,6.55
213,Vardo,NO,2020-02-21 05:35:38,70.37,31.11,24.8,85,75,26.4
214,Nhulunbuy,AU,2020-02-21 05:39:45,-12.23,136.77,80.6,83,75,9.17
215,Pirgos,GR,2020-02-21 05:39:45,35.12,25.72,55.4,71,75,23.04
216,Hami,CN,2020-02-21 05:39:45,42.8,93.45,33.37,35,31,2.66
217,Port Elizabeth,ZA,2020-02-21 05:39:45,-33.92,25.57,66.2,88,75,3.36
218,Hambantota,LK,2020-02-21 05:36:40,6.12,81.12,84.2,83,75,16.11
219,Sibu,MY,2020-02-21 05:39:46,2.3,111.82,87.8,62,75,5.82
220,Sisimiut,GL,2020-02-21 05:39:46,66.94,-53.67,-5.08,89,100,5.79
221,Tura,IN,2020-02-21 05:39:46,25.52,90.22,89.31,28,0,1.68
222,Takab,IR,2020-02-21 05:39:47,36.4,47.11,33.1,100,100,2.44
223,Shaowu,CN,2020-02-21 05:39:47,27.34,117.48,67.71,58,22,2.68
224,Paita,PE,2020-02-21 05:39:48,-5.09,-81.11,76.71,77,24,5.95
225,San Matias,BO,2020-02-21 05:39:48,-16.37,-58.4,75.83,94,100,3.78
226,Arraial Do Cabo,BR,2020-02-21 05:39:48,-22.97,-42.03,76.32,92,1,13.42
227,Namatanai,PG,2020-02-21 05:39:48,-3.67,152.43,84.18,74,0,13.91
228,Konstantinovka,RU,2020-02-21 05:39:48,49.62,127.98,8.29,91,100,5.64
